location,Latitude,Longitude,Free_Bikes,Empty_Slots,Total_Bikes,name,category,closed_bucket,distance,postcode,latitude,longitude,region,city,state,review_count,rating
"San Francisco Bay Area, CA",37.8717192,-122.2730677,7.0,16.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.778058,-122.2254,4.0,13.0,17.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8072393,-122.2893702,7.0,12.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7752321,-122.2244982,7.0,8.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.80874983465997,-122.28328227996823,10.0,9.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8061628,-122.2760402,4.0,15.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7440667,-122.4214722,4.0,15.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7472996,-122.4114029,2.0,12.0,14.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7436839,-122.4268059,0.0,15.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.745738796183325,-122.42214024066924,4.0,10.0,14.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7478584,-122.4249863,8.0,7.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8297046,-122.2876102,11.0,12.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8312752,-122.2856333,9.0,14.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7552126,-122.4209752,10.0,11.0,21.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7518194,-122.4266139,16.0,3.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7524278,-122.4206278,8.0,15.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7509004,-122.4274114,5.0,14.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.78729,-122.39438,20.0,3.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7913,-122.399051,20.0,2.0,22.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7824046019341,-122.43944585323337,9.0,18.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.31515792998312,-121.89783275127412,11.0,4.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.31673647849343,-121.91000461578368,17.0,10.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.32345133870681,-121.90597593784332,10.0,17.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.356834352780886,-121.89593575894833,21.0,2.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.36522655191025,-121.9168147444725,11.0,7.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.83954308266563,-122.2987177222967,12.0,11.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7873267660624,-122.41327822208405,1.0,16.0,17.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.75179164525661,-122.40521550178528,9.0,14.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8040367840236,-122.26240932941435,9.0,10.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.364060462258806,-121.9117319583893,5.0,10.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7700298,-122.4117258,15.0,12.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.36186680025918,-121.90931528806688,22.0,1.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.36767805240811,-121.9187942147255,20.0,3.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.36085415525383,-121.90683424472807,13.0,14.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.796470691622936,-122.4168576300144,7.0,12.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.870139,-122.268422,10.0,16.0,26.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.87367621459825,-122.26848721504211,1.0,22.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8677892,-122.2658964,4.0,19.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8690599,-122.270556,7.0,19.0,26.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8524766,-122.2702132,9.0,14.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8660431,-122.2588044,14.0,5.0,19.0,,,,,,,,,,,,
