Bike_Id,Bike_Lat,Bike_Long,name,review_count,categories,rating,display_address,distance
d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,Shewhat,243,"Ethiopian, Eritrean",5.0,"6101 Shattuck Ave, Oakland, CA 94609",541.6956669142392
d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,Creekwood,458,"Italian, New American",4.5,"3121 Sacramento St, Berkeley, CA 94702",684.3919001590383
d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,The Fat Fish,190,Fish & Chips,4.0,"3221 Adeline St, Berkeley, CA 94703",29.9305557971102
983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,Hula Bar and Kitchen,140,"Bars, Hawaiian, Filipino",4.5,"30 E Santa Clara St, Ste 110, San Jose, CA 95113",60.83496044145935
983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,55 South,728,"Lounges, New American, Cocktail Bars",4.0,"55 S 1st St, San Jose, CA 95113",134.78008853245782
983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,Paper Plane,1562,"Cocktail Bars, New American",4.0,"72 S 1st St, San Jose, CA 95113",131.5442199442232
da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,Mama Kin,113,"Music Venues, Cajun/Creole, Breakfast & Brunch",4.0,"374 S First St, San Jose, CA 95113",1039.5338787917874
da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,Petiscos,451,"Portuguese, Tapas/Small Plates, Seafood",4.0,"399 S 1st St, San Jose, CA 95113",993.9812150180032
da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,El Camaron De Sinaloa,402,"Seafood, Mexican, Sushi Bars",4.5,"245 Willow St, San jose, CA 95110",428.1866533631345
7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Smack Burgers,28,"Burgers, Pop-up Shops",4.5,"101 E Alma Ave, San Jose, CA 95112",717.843262379351
7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,The Nest Asian Bistro,260,"Chicken Wings, Sandwiches, Asian Fusion",4.0,"312 S 3rd St, San Jose, CA 95112",1328.2329935970436
7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Supper Foods,20,"Italian, Mexican, Food Court",4.0,"748 S First St, San Jose, CA 95113",695.2538636134666
ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,Mama Kin,113,"Music Venues, Cajun/Creole, Breakfast & Brunch",4.0,"374 S First St, San Jose, CA 95113",938.9432738964443
ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,Petiscos,451,"Portuguese, Tapas/Small Plates, Seafood",4.0,"399 S 1st St, San Jose, CA 95113",923.9948845459317
ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,The FAB,191,"Sports Bars, New Mexican Cuisine, Breakfast & Brunch",4.0,"110 Paseo De San Antonio, San Jose, CA 95112",1112.4265140593725
a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,Petiscos,451,"Portuguese, Tapas/Small Plates, Seafood",4.0,"399 S 1st St, San Jose, CA 95113",803.4642557887505
a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,Mama Kin,113,"Music Venues, Cajun/Creole, Breakfast & Brunch",4.0,"374 S First St, San Jose, CA 95113",865.8042019549274
a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,Secco Restaurant and Bar,67,"Tacos, Burgers, Cocktail Bars",4.5,"300 Almaden Blvd, San Jose, CA 95113",744.4745735888279
b4b0088fb4fbb4587cad9d89ddc092cd,37.327581,-121.884559,Mama Kin,113,"Music Venues, Cajun/Creole, Breakfast & Brunch",4.0,"374 S First St, San Jose, CA 95113",360.9790070793176
b4b0088fb4fbb4587cad9d89ddc092cd,37.327581,-121.884559,Petiscos,451,"Portuguese, Tapas/Small Plates, Seafood",4.0,"399 S 1st St, San Jose, CA 95113",314.1872342673611
b4b0088fb4fbb4587cad9d89ddc092cd,37.327581,-121.884559,Hula Bar and Kitchen,140,"Bars, Hawaiian, Filipino",4.5,"30 E Santa Clara St, Ste 110, San Jose, CA 95113",1082.2647027004487
d576652cc151c23d6ec52b8454429d47,37.3327938,-121.8759263,Hao Hao Pho,126,"Vietnamese, Noodles, Sandwiches",4.5,"460 E William St, San Jose, CA 95112",102.00623109565541
d576652cc151c23d6ec52b8454429d47,37.3327938,-121.8759263,Mama Kin,113,"Music Venues, Cajun/Creole, Breakfast & Brunch",4.0,"374 S First St, San Jose, CA 95113",924.0317578962074
d576652cc151c23d6ec52b8454429d47,37.3327938,-121.8759263,Rollati Ristorante,83,Italian,4.0,"181 E Santa Clara St, Unit 10, San Jose, CA 95113",1145.3329291763991
0a24b6ab9ca6684780b6682901b3c680,37.3448821,-121.8969655,SJ Omogari,2462,"Korean, Soup, Seafood",4.0,"154 Jackson St, San Jose, CA 95112",427.0815023021948
0a24b6ab9ca6684780b6682901b3c680,37.3448821,-121.8969655,Shabu Time,336,"Japanese, Hot Pot, Do-It-Yourself Food",4.5,"171 Jackson St, San Jose, CA 95112",465.34027186240854
0a24b6ab9ca6684780b6682901b3c680,37.3448821,-121.8969655,Hula Bar and Kitchen,140,"Bars, Hawaiian, Filipino",4.5,"30 E Santa Clara St, Ste 110, San Jose, CA 95113",1136.3943444032448
