Station_No,Station_ID,Bike_Lat,Bike_Long,name,review_count,categories,rating,distance
13,8870d1c76fa018d1758fad83f2be5237,37.8305452,-122.2739367,Shangri-La Vegan,712,"Vegetarian, Vegan",4.5,269.59076738171103
14,a840a66dcf537eb53ff86c7ed469f491,37.8302232,-122.2709501,Alawdi's Mini Mart and Kitchen,1,"Convenience Stores, Fast Food, Ice Cream & Frozen Yogurt",4.0,204.67609731235143
14,a840a66dcf537eb53ff86c7ed469f491,37.8302232,-122.2709501,Sushi Salon,2,"Sushi Bars, Japanese",5.0,241.21884068337184
14,a840a66dcf537eb53ff86c7ed469f491,37.8302232,-122.2709501,Arthur Mac's Tap and Snack,411,"Pizza, Beer Gardens, Chicken Wings",4.0,247.5479145177472
15,315bd655b7cf06f4cf2e3c78879043e4,37.8127441,-122.2472152,Almond & Oak,269,"New American, Cocktail Bars",4.5,35.081273389207155
15,315bd655b7cf06f4cf2e3c78879043e4,37.8127441,-122.2472152,Jad Palace Two,0,Restaurants,0.0,36.76486605793648
15,315bd655b7cf06f4cf2e3c78879043e4,37.8127441,-122.2472152,Ikaros Greek Restaurant,816,"Greek, Mediterranean, Middle Eastern",4.0,37.16598443029731
16,c58c5e00d5caeb09fab3509a349ac2ce,37.85578332030199,-122.28312671184538,Bootstrapper,37,Soul Food,3.5,284.7171748251577
16,c58c5e00d5caeb09fab3509a349ac2ce,37.85578332030199,-122.28312671184538,El Manantial Tacos,66,"Food Trucks, Tacos",4.5,421.1782594356862
16,c58c5e00d5caeb09fab3509a349ac2ce,37.85578332030199,-122.28312671184538,Chai Thai Noodles - Berkeley,187,"Thai, Laotian, Noodles",4.0,524.5952265131742
17,55389695e3090fea977edbe85a0b7dfc,37.85557366182879,-122.2635653614998,Emilia's Pizzeria,451,Pizza,4.5,237.26566536320422
17,55389695e3090fea977edbe85a0b7dfc,37.85557366182879,-122.2635653614998,Taqueria La Familia,415,Mexican,4.0,241.0859318066363
17,55389695e3090fea977edbe85a0b7dfc,37.85557366182879,-122.2635653614998,Cafe Buenos Aires,181,"Argentine, Breakfast & Brunch, Empanadas",4.5,241.91468768946444
18,81cc789c1070340c1930450769536ea2,37.8575672,-122.2675583,Tamale Lady at Berkeley Bowl Parking Lot,4,"Mexican, Food",2.5,57.57201974848183
18,81cc789c1070340c1930450769536ea2,37.8575672,-122.2675583,Sconehenge Bakery & Cafe,455,"Bakeries, Breakfast & Brunch, Sandwiches",4.0,144.42499756806905
18,81cc789c1070340c1930450769536ea2,37.8575672,-122.2675583,Kirala Restaurant,1852,"Sushi Bars, Japanese",4.0,204.8966517442261
